Timestamp,ServoFuel,ServoOxidizer,PressureFuel,PressureOxidizer,PressureChamber,TemperatureFuel
-10,0,0,10.55274,12.9267,-3.60972,40.5
-10,0,0,10.3251,12.40638,-3.9024,37.26
-10,0,0,10.52022,12.94296,-3.9024,38.699999999999996
-9.7,0,0,10.27632,13.008000000000001,-3.52842,36.9
-9.7,0,0,10.43892,12.91044,-3.9024,37.08
-9.5,0,0,10.0812,12.74784,-3.6585,38.519999999999996
-9.3,0,0,10.22754,13.12182,-3.9024,37.8
-9.2,0,0,10.03242,12.50394,-3.88614,39.6
-8.9,0,0,10.569,13.15434,-3.9024,38.879999999999995
-8.8,0,0,9.804780000000001,12.82914,-3.9024,38.339999999999996
-8.8,0,0,10.30884,12.53646,-3.64224,38.699999999999996
-8.6,0,0,10.4064,12.97548,-3.86988,36.72
-8.4,0,0,10.60152,12.69906,-3.9024,38.339999999999996
-8.4,0,0,10.569,12.95922,-3.9024,37.08
-8.3,0,0,10.76412,12.97548,-3.7398000000000002,37.8
-8.1,0,0,10.39014,12.87792,-3.70728,37.62
-8.0,0,0,10.69908,12.40638,-3.9024,36.18
-7.9,0,0,10.4064,12.95922,-3.9024,36.18
-7.9,0,0,10.50396,12.86166,-3.9024,38.879999999999995
-7.6,0,0,10.60152,13.008000000000001,-3.9024,39.24
-7.6,0,0,10.4064,12.89418,-3.9024,39.6
-7.5,0,0,10.569,12.61776,-3.60972,37.26
-7.3,0,0,10.01616,12.82914,-3.80484,37.98
-7.3,0,0,10.58526,12.9267,-3.9024,37.08
-7.2,0,0,10.50396,12.39012,-3.9024,38.519999999999996
-7.2,0,0,9.88608,12.9267,-3.80484,37.44
-7.1,0,0,10.60152,12.63402,-3.9024,37.98
-6.8,0,0,10.3251,12.37386,-3.9024,38.879999999999995
-6.8,0,0,10.52022,12.63402,-3.9024,36.18
-6.5,0,0,10.52022,12.89418,-3.9024,37.8
-6.5,0,0,10.43892,12.4389,-3.80484,35.64
-6.4,0,0,10.35762,12.81288,-3.9024,37.44
-6.4,0,0,10.30884,12.81288,-3.9024,38.519999999999996
-6.2,0,0,10.4877,13.0893,-3.9024,36.0
-6.2,0,0,10.4064,12.4389,-3.9024,39.6
-6.1,0,0,10.61778,12.97548,-3.75606,39.6
-6.1,0,0,10.61778,13.02426,-3.72354,37.44
-6.0,0,0,10.68282,12.79662,-3.83736,39.78
-6.0,0,0,10.11372,12.89418,-3.77232,37.8
-5.8,0,0,10.50396,12.45516,-3.78858,37.62
-5.8,0,0,10.39014,12.9267,-3.86988,38.879999999999995
-5.7,0,0,10.7316,13.10556,-3.9024,37.44
-5.7,0,0,10.12998,12.82914,-3.8211,36.54
-5.5,0,0,10.2438,12.8454,-3.9024,38.519999999999996
-5.5,0,0,10.37388,12.86166,-3.9024,38.16
-5.2,0,0,10.35762,12.53646,-3.62598,37.26
-5.1,0,0,10.68282,12.42264,-3.9024,36.72
-5.1,0,0,10.39014,13.07304,-3.9024,37.26
-5.0,0,0,10.35762,12.87792,-3.80484,38.879999999999995
-4.9,0,0,9.9186,12.97548,-3.83736,39.6
-4.9,0,0,10.6503,13.008000000000001,-3.9024,37.08
-4.8,0,0,10.2438,12.82914,-3.9024,36.9
-4.5,0,0,10.4877,12.99174,-3.64224,37.8
-4.5,0,0,10.58526,12.79662,-3.85362,37.08
-4.4,0,0,9.93486,12.79662,-3.9024,39.96
-4.3,0,0,10.4877,12.99174,-3.9024,38.699999999999996
-4.0,0,0,10.45518,12.82914,-3.9024,39.42
-3.9,0,0,10.09746,12.32508,-3.9024,39.96
-3.8,0,0,10.55274,12.95922,-3.80484,37.26
-3.7,0,0,10.42266,13.02426,-3.9024,38.879999999999995
-3.5,0,0,10.12998,13.0893,-3.9024,38.519999999999996
-3.5,0,0,10.55274,12.86166,-3.60972,37.62
-3.5,0,0,10.43892,12.73158,-3.9024,37.26
-3.4,0,0,9.88608,12.47142,-3.9024,39.24
-3.2,0,0,10.69908,12.65028,-3.9024,37.08
-3.2,0,0,9.98364,12.764100000000001,-3.9024,39.42
-3.1,0,0,10.06494,12.94296,-3.9024,39.059999999999995
-3.0,0,0,10.52022,13.10556,-3.67476,38.879999999999995
-2.9,0,0,10.4064,13.13808,-3.9024,37.62
-2.8,0,0,10.42266,13.0893,-3.70728,37.98
-2.8,0,0,10.26006,12.9267,-3.77232,39.96
-2.7,0,0,9.8373,12.95922,-3.83736,38.519999999999996
