Timestamp,ServoFuelPercentageTarget,ServoOxidizerPercentageTarget,ServoFuelPercentageCurrent,ServoOxidizerPercentageCurrent,PressureFuel,PressureOxidizer,PressureChamber,TemperatureChamber
-5.4,0,0,-107.0,187.0,-8.7561,-8.7561,-8.7561,-69.12
-5.3,0,0,-107.0,187.0,-8.7561,-8.7561,-8.7561,-69.12
-5.2,0,0,-107.0,187.0,-8.7561,-8.7561,-8.7561,-69.12
-5.1,0,0,-107.0,187.0,-8.7561,-8.7561,-8.7561,-69.12
-5.0,0,0,-107.0,187.0,-8.7561,-8.7561,-8.7561,-69.12
-4.9,0,0,-107.0,187.0,-8.7561,-8.7561,-8.7561,-69.12
-4.8,0,0,-107.0,187.0,-8.7561,-8.7561,-8.7561,-69.12
-4.7,0,0,-107.0,187.0,-8.7561,-8.7561,-8.7561,-69.12
-4.6,0,0,-107.0,187.0,-8.7561,-8.7561,-8.7561,-69.12
-4.5,0,0,-107.0,187.0,-8.7561,-8.7561,-8.7561,-69.12
-4.4,0,0,-107.0,187.0,-8.7561,-8.7561,-8.7561,-69.12
-4.3,0,0,-107.0,187.0,-8.7561,-8.7561,-8.7561,-69.12
-4.2,0,0,-107.0,187.0,-8.7561,-8.7561,-8.7561,-69.12
-4.1,0,0,-107.0,187.0,-8.7561,-8.7561,-8.7561,-69.12
-4.0,0,0,-107.0,187.0,-8.7561,-8.7561,-8.7561,-69.12
-3.9,0,0,-107.0,187.0,-8.7561,-8.7561,-8.7561,-69.12
-3.8,0,0,-107.0,187.0,-8.7561,-8.7561,-8.7561,-69.12
-3.7,0,0,-107.0,187.0,-8.7561,-8.7561,-8.7561,-69.12
-3.6,0,0,-107.0,187.0,-8.7561,-8.7561,-8.7561,-69.12
-3.5,0,0,-107.0,187.0,-8.7561,-8.7561,-8.7561,-69.12
-3.4,0,0,-107.0,187.0,-8.7561,-8.7561,-8.7561,-69.12
-3.3,0,0,-107.0,187.0,-8.7561,-8.7561,-8.7561,-69.12
-3.2,0,0,-107.0,187.0,-8.7561,-8.7561,-8.7561,-69.12
-3.1,0,0,-107.0,187.0,-8.7561,-8.7561,-8.7561,-69.12
-3.0,0,0,-107.0,187.0,-8.7561,-8.7561,-8.7561,-69.12
-2.9,0,0,-107.0,187.0,-8.7561,-8.7561,-8.7561,-69.12
-2.8,0,0,-107.0,187.0,-8.7561,-8.7561,-8.7561,-69.12
-2.7,0,0,-107.0,187.0,-8.7561,-8.7561,-8.7561,-69.12
-2.6,0,0,-107.0,187.0,-8.7561,-8.7561,-8.7561,-69.12
-2.5,0,0,-107.0,187.0,-8.7561,-8.7561,-8.7561,-69.12
-2.4,0,0,-107.0,187.0,-8.7561,-8.7561,-8.7561,-69.12
-2.3,0,0,-107.0,187.0,-8.7561,-8.7561,-8.7561,-69.12
-2.2,0,0,-107.0,187.0,-8.7561,-8.7561,-8.7561,-69.12
-2.1,0,0,-107.0,187.0,-8.7561,-8.7561,-8.7561,-69.12
-2.0,0,0,-107.0,187.0,-8.7561,-8.7561,-8.7561,-69.12
-1.9,0,0,-107.0,187.0,-8.7561,-8.7561,-8.7561,-69.12
-1.8,0,0,-107.0,187.0,-8.7561,-8.7561,-8.7561,-69.12
-1.7,0,0,-107.0,187.0,-8.7561,-8.7561,-8.7561,-69.12
-1.6,0,0,-107.0,187.0,-8.7561,-8.7561,-8.7561,-69.12
-1.5,0,0,-107.0,187.0,-8.7561,-8.7561,-8.7561,-69.12
-1.4,0,0,-107.0,187.0,-8.7561,-8.7561,-8.7561,-69.12
-1.3,0,0,-107.0,187.0,-8.7561,-8.7561,-8.7561,-69.12
-1.2,0,0,-107.0,187.0,-8.7561,-8.7561,-8.7561,-69.12
-1.1,0,0,-107.0,187.0,-8.7561,-8.7561,-8.7561,-69.12
-1.0,0,0,-107.0,187.0,-8.7561,-8.7561,-8.7561,-69.12
-0.9,0,0,-107.0,187.0,-8.7561,-8.7561,-8.7561,-69.12
-0.8,0,0,-107.0,187.0,-8.7561,-8.7561,-8.7561,-69.12
-0.7,0,0,-107.0,187.0,-8.7561,-8.7561,-8.7561,-69.12
-0.6,0,0,-107.0,187.0,-8.7561,-8.7561,-8.7561,-69.12
-0.5,0,0,-107.0,187.0,-8.7561,-8.7561,-8.7561,-69.12
-0.4,0,0,-107.0,187.0,-8.7561,-8.7561,-8.7561,-69.12
-0.3,0,0,-107.0,187.0,-8.7561,-8.7561,-8.7561,-69.12
-0.2,0,0,-107.0,187.0,-8.7561,-8.7561,-8.7561,-69.12
-0.1,0,0,-107.0,187.0,-8.7561,-8.7561,-8.7561,-69.12
0.0,0,0,-107.0,187.0,-8.7561,-8.7561,-8.7561,-69.12
0.1,5.0,5.0,-107.0,187.0,-8.7561,-8.7561,-8.7561,-69.12
0.2,10.0,10.0,-107.0,187.0,-8.7561,-8.7561,-8.7561,-69.12
0.3,15.0,15.0,-107.0,187.0,-8.7561,-8.7561,-8.7561,-69.12
0.4,20.0,20.0,-107.0,187.0,-8.7561,-8.7561,-8.7561,-69.12
0.5,25.0,25.0,-107.0,187.0,-8.7561,-8.7561,-8.7561,-69.12
0.6,30.0,30.0,-107.0,187.0,-8.7561,-8.7561,-8.7561,-69.12
0.7,35.0,35.0,-107.0,187.0,-8.7561,-8.7561,-8.7561,-69.12
0.8,40.0,40.0,-107.0,187.0,-8.7561,-8.7561,-8.7561,-69.12
0.9,45.0,45.0,-107.0,187.0,-8.7561,-8.7561,-8.7561,-69.12
1.0,50,50,-107.0,187.0,-8.7561,-8.7561,-8.7561,-69.12
1.1,55,55,-107.0,187.0,-8.7561,-8.7561,-8.7561,-69.12
1.2,60.0,60.0,-107.0,187.0,-8.7561,-8.7561,-8.7561,-69.12
1.3,65.0,65.0,-107.0,187.0,-8.7561,-8.7561,-8.7561,-69.12
1.4,70.0,70.0,-107.0,187.0,-8.7561,-8.7561,-8.7561,-69.12
1.5,75.0,75.0,-107.0,187.0,-8.7561,-8.7561,-8.7561,-69.12
1.6,80.0,80.0,-107.0,187.0,-8.7561,-8.7561,-8.7561,-69.12
1.7,85.0,85.0,-107.0,187.0,-8.7561,-8.7561,-8.7561,-69.12
1.8,90.0,90.0,-107.0,187.0,-8.7561,-8.7561,-8.7561,-69.12
1.9,95.0,95.0,-107.0,187.0,-8.7561,-8.7561,-8.7561,-69.12
2.0,100,100,-107.0,187.0,-8.7561,-8.7561,-8.7561,-69.12
2.1,100,100,-107.0,187.0,-8.7561,-8.7561,-8.7561,-69.12
2.2,100,100,-107.0,187.0,-8.7561,-8.7561,-8.7561,-69.12
2.3,100,100,-107.0,187.0,-8.7561,-8.7561,-8.7561,-69.12
2.4,100,100,-107.0,187.0,-8.7561,-8.7561,-8.7561,-69.12
2.5,100,100,-107.0,187.0,-8.7561,-8.7561,-8.7561,-69.12
2.6,100,100,-107.0,187.0,-8.7561,-8.7561,-8.7561,-69.12
2.7,100,100,-107.0,187.0,-8.7561,-8.7561,-8.7561,-69.12
2.8,100,100,-107.0,187.0,-8.7561,-8.7561,-8.7561,-69.12
2.9,100,100,-107.0,187.0,-8.7561,-8.7561,-8.7561,-69.12
3.0,100,100,-107.0,187.0,-8.7561,-8.7561,-8.7561,-69.12
3.1,100,100,-107.0,187.0,-8.7561,-8.7561,-8.7561,-69.12
3.2,100,100,-107.0,187.0,-8.7561,-8.7561,-8.7561,-69.12
3.3,100,100,-107.0,187.0,-8.7561,-8.7561,-8.7561,-69.12
3.4,100,100,-107.0,187.0,-8.7561,-8.7561,-8.7561,-69.12
3.5,100,100,-107.0,187.0,-8.7561,-8.7561,-8.7561,-69.12
3.6,100,100,-107.0,187.0,-8.7561,-8.7561,-8.7561,-69.12
3.7,100,100,-107.0,187.0,-8.7561,-8.7561,-8.7561,-69.12
3.8,100,100,-107.0,187.0,-8.7561,-8.7561,-8.7561,-69.12
3.9,100,100,-107.0,187.0,-8.7561,-8.7561,-8.7561,-69.12
4.0,100,100,-107.0,187.0,-8.7561,-8.7561,-8.7561,-69.12
4.1,50,100,-107.0,187.0,-8.7561,-8.7561,-8.7561,-69.12
4.2,0,100,-107.0,187.0,-8.7561,-8.7561,-8.7561,-69.12
4.3,0,100,-107.0,187.0,-8.7561,-8.7561,-8.7561,-69.12
4.4,0,49,-107.0,187.0,-8.7561,-8.7561,-8.7561,-69.12
4.5,0,0,-107.0,187.0,-8.7561,-8.7561,-8.7561,-69.12
4.6,0,0,-107.0,187.0,-8.7561,-8.7561,-8.7561,-69.12
4.7,0,0,-107.0,187.0,-8.7561,-8.7561,-8.7561,-69.12
4.8,0,0,-107.0,187.0,-8.7561,-8.7561,-8.7561,-69.12
4.9,0,0,-107.0,187.0,-8.7561,-8.7561,-8.7561,-69.12
5.0,0,0,-107.0,187.0,-8.7561,-8.7561,-8.7561,-69.12
5.1,0,0,-107.0,187.0,-8.7561,-8.7561,-8.7561,-69.12
5.2,0,0,-107.0,187.0,-8.7561,-8.7561,-8.7561,-69.12
5.3,0,0,-107.0,187.0,-8.7561,-8.7561,-8.7561,-69.12
5.4,0,0,-107.0,187.0,-8.7561,-8.7561,-8.7561,-69.12
5.5,0,0,-107.0,187.0,-8.7561,-8.7561,-8.7561,-69.12
5.6,0,0,-107.0,187.0,-8.7561,-8.7561,-8.7561,-69.12
5.7,0,0,-107.0,187.0,-8.7561,-8.7561,-8.7561,-69.12
5.8,0,0,-107.0,187.0,-8.7561,-8.7561,-8.7561,-69.12
5.9,0,0,-107.0,187.0,-8.7561,-8.7561,-8.7561,-69.12
6.0,0,0,-107.0,187.0,-8.7561,-8.7561,-8.7561,-69.12
6.1,0,0,-107.0,187.0,-8.7561,-8.7561,-8.7561,-69.12
6.2,0,0,-107.0,187.0,-8.7561,-8.7561,-8.7561,-69.12
6.3,0,0,-107.0,187.0,-8.7561,-8.7561,-8.7561,-69.12
6.4,0,0,-107.0,187.0,-8.7561,-8.7561,-8.7561,-69.12
6.5,0,0,-107.0,187.0,-8.7561,-8.7561,-8.7561,-69.12
6.6,0,0,-107.0,187.0,-8.7561,-8.7561,-8.7561,-69.12
6.7,0,0,-107.0,187.0,-8.7561,-8.7561,-8.7561,-69.12
6.8,0,0,-107.0,187.0,-8.7561,-8.7561,-8.7561,-69.12
6.9,0,0,-107.0,187.0,-8.7561,-8.7561,-8.7561,-69.12
7.0,0,0,-107.0,187.0,-8.7561,-8.7561,-8.7561,-69.12
7.1,0,0,-107.0,187.0,-8.7561,-8.7561,-8.7561,-69.12
7.2,0,0,-107.0,187.0,-8.7561,-8.7561,-8.7561,-69.12
7.3,0,0,-107.0,187.0,-8.7561,-8.7561,-8.7561,-69.12
7.4,0,0,-107.0,187.0,-8.7561,-8.7561,-8.7561,-69.12
7.5,0,0,-107.0,187.0,-8.7561,-8.7561,-8.7561,-69.12
7.6,0,0,-107.0,187.0,-8.7561,-8.7561,-8.7561,-69.12
7.7,0,0,-107.0,187.0,-8.7561,-8.7561,-8.7561,-69.12
7.8,0,0,-107.0,187.0,-8.7561,-8.7561,-8.7561,-69.12
7.9,0,0,-107.0,187.0,-8.7561,-8.7561,-8.7561,-69.12
8.0,0,0,-107.0,187.0,-8.7561,-8.7561,-8.7561,-69.12
8.1,0,0,-107.0,187.0,-8.7561,-8.7561,-8.7561,-69.12
8.2,0,0,-107.0,187.0,-8.7561,-8.7561,-8.7561,-69.12
8.3,0,0,-107.0,187.0,-8.7561,-8.7561,-8.7561,-69.12
8.4,0,0,-107.0,187.0,-8.7561,-8.7561,-8.7561,-69.12
8.5,0,0,-107.0,187.0,-8.7561,-8.7561,-8.7561,-69.12
8.6,0,0,-107.0,187.0,-8.7561,-8.7561,-8.7561,-69.12
8.7,0,0,-107.0,187.0,-8.7561,-8.7561,-8.7561,-69.12
8.7,0,0,-107.0,187.0,-8.7561,-8.7561,-8.7561,-69.12
