Timestamp,ServoFuel,ServoOxidizer,PressureFuel,PressureOxidizer,PressureChamber,TemperatureFuel
-10,0,0.0,10.66656,12.69906,-3.9024,37.26
-10,0,0.0,10.52022,13.13808,-3.9024,36.54
-10,0,0.0,10.6503,12.79662,-3.83736,35.82
-9.7,0,0.0,10.42266,12.99174,-3.69102,37.62
-9.6,0,0.0,10.61778,12.56898,-3.9024,36.9
-9.6,0,0.0,10.34136,12.39012,-3.9024,36.72
-9.5,0,0.0,10.42266,12.79662,-3.9024,36.72
-8.9,0,0.0,9.8373,12.79662,-3.77232,36.18
-8.8,0,0.0,10.43892,13.05678,-3.9024,36.0
-8.7,0,0.0,10.12998,13.20312,-3.7398000000000002,35.82
-8.7,0,0.0,10.3251,12.764100000000001,-3.88614,36.9
-8.6,0,0.0,10.6503,13.04052,-3.69102,35.64
-8.4,0,0.0,10.11372,12.63402,-3.86988,35.28
-8.4,0,0.0,10.6503,12.94296,-3.9024,34.74
-8.4,0,0.0,10.27632,12.487680000000001,-3.9024,36.54
-8.3,0,0.0,9.8373,13.0893,-3.69102,38.339999999999996
-8.1,0,0.0,10.1625,12.65028,-3.7398000000000002,37.44
-8.0,0,0.0,10.60152,12.95922,-3.86988,35.28
-7.9,0,0.0,10.43892,13.12182,-3.67476,36.18
-7.8,0,0.0,10.12998,12.58524,-3.86988,35.1
-7.7,0,0.0,9.85356,12.9267,-3.86988,36.54
-7.7,0,0.0,10.50396,12.82914,-3.9024,35.82
-7.5,0,0.0,10.34136,12.95922,-3.72354,36.0
-7.5,0,0.0,10.536480000000001,12.39012,-3.88614,35.28
-7.5,0,0.0,9.9186,13.07304,-3.9024,37.08
-7.3,0,0.0,10.39014,13.04052,-3.9024,37.44
-7.2,0,0.0,10.27632,12.9267,-3.9024,35.46
-7.1,0,0.0,10.43892,12.94296,-3.62598,38.16
-7.0,0,0.0,10.39014,12.37386,-3.9024,36.0
-7.0,0,0.0,9.86982,12.97548,-3.7398000000000002,36.54
-6.8,0,0.0,10.55274,12.42264,-3.9024,36.18
-6.7,0,0.0,10.61778,12.47142,-3.60972,36.36
-6.6,0,0.0,10.42266,12.61776,-3.9024,38.339999999999996
-6.4,0,0.0,10.61778,13.15434,-3.6585,36.36
-6.4,0,0.0,10.37388,12.82914,-3.77232,35.1
-6.3,0,0.0,10.45518,12.6828,-3.72354,35.1
-6.1,0,0.0,10.21128,12.81288,-3.78858,36.72
-6.0,0,0.0,10.50396,12.86166,-3.9024,35.46
-6.0,0,0.0,10.6503,12.87792,-3.86988,35.1
-5.9,0,0.0,10.4064,12.73158,-3.9024,37.26
-5.8,0,0.0,10.569,12.78036,-3.9024,36.36
-5.8,0,0.0,10.4064,12.89418,-3.64224,36.72
-5.5,0,0.0,9.85356,12.82914,-3.88614,37.08
-5.5,0,0.0,10.22754,12.97548,-3.62598,34.56
-5.2,0,0.0,9.88608,12.74784,-3.77232,36.36
-5.1,0,0.0,9.86982,12.243780000000001,-3.9024,35.28
-5.0,0,0.0,10.45518,12.53646,-3.56094,37.08
-5.0,0,0.0,10.69908,12.97548,-3.8211,36.0
-4.8,0,0.0,10.37388,13.10556,-3.59346,37.8
-4.8,0,0.0,10.37388,12.30882,-3.7398000000000002,36.0
-4.7,0,0.0,10.39014,12.37386,-3.8211,36.18
-4.6,0,0.0,10.27632,12.5202,-3.78858,34.92
-4.4,0,0.0,10.47144,12.50394,-3.69102,35.1
-4.4,0,0.0,10.55274,12.94296,-3.9024,37.44
-4.4,0,0.0,10.27632,12.78036,-3.70728,35.46
-4.2,0,0.0,10.68282,12.95922,-3.83736,36.54
-4.1,0,0.0,10.6503,13.05678,-3.75606,34.199999999999996
-3.9,0,0.0,10.3251,13.008000000000001,-3.88614,35.64
-3.9,0,0.0,10.4877,13.12182,-3.9024,36.0
-3.7,0,0.0,10.26006,12.79662,-3.9024,34.379999999999995
-3.7,0,0.0,10.63404,12.95922,-3.77232,35.82
-3.5,0,0.0,10.7316,12.73158,-3.9024,36.36
-3.4,0,0.0,10.45518,12.99174,-3.77232,34.74
-3.4,0,0.0,10.21128,12.97548,-3.67476,35.28
-3.4,0,0.0,10.63404,13.12182,-3.9024,35.46
-3.1,0,0.0,10.19502,12.97548,-3.78858,36.18
-3.1,0,0.0,10.37388,12.63402,-3.75606,36.0
-3.0,0,0.0,10.01616,12.63402,-3.59346,36.54
-2.9,0,0.0,10.569,12.50394,-3.7398000000000002,35.64
-2.9,0,0.0,10.39014,12.66654,-3.9024,36.54
-2.9,0,0.0,10.47144,12.94296,-3.9024,35.82
-2.7,0,0.0,10.63404,13.07304,-3.9024,35.64
-2.6,0,0.0,9.95112,13.13808,-3.9024,35.28
-2.4,0,0.0,10.569,12.87792,-3.72354,34.74
-2.3,0,0.0,10.39014,13.12182,-3.9024,36.54
-2.1,0,0.0,10.50396,12.9267,-3.83736,35.64
-2.1,0,0.0,10.58526,12.78036,-3.80484,33.12
-1.8,0,0.0,10.39014,12.58524,-3.9024,34.56
-1.7,0,0.0,10.66656,12.3576,-3.9024,36.72
-1.6,0,0.0,10.536480000000001,12.69906,-3.7398000000000002,34.92
-1.4,0,0.0,10.42266,12.97548,-3.75606,35.46
-1.4,0,0.0,10.4877,12.95922,-3.9024,36.36
-1.3,0,0.0,10.35762,13.13808,-3.83736,35.46
-1.3,0,0.0,10.34136,12.91044,-3.9024,34.019999999999996
-1.1,0,0.0,10.536480000000001,12.87792,-3.9024,35.28
-1.1,0,0.0,10.536480000000001,12.81288,-3.9024,36.36
-0.9,0,0.0,10.4877,12.55272,-3.77232,37.8
-0.7,0,0.0,10.43892,12.4389,-3.86988,34.74
-0.6,0,0.0,9.95112,12.65028,-3.6585,36.9
-0.6,0,0.0,10.2438,12.81288,-3.9024,37.26
-0.4,0,0.0,10.39014,12.32508,-3.60972,37.08
-0.4,0,0.0,10.50396,12.9267,-3.75606,35.46
-0.2,0,0.0,10.14624,13.15434,-3.56094,36.18
-0.2,0,0.0,10.21128,12.97548,-3.9024,37.08
-0.2,0,0.0,10.21128,12.65028,-3.9024,37.26
-0.2,0,0.0,10.39014,12.99174,-3.9024,34.379999999999995
-0.1,0,0.0,10.12998,13.02426,-3.78858,37.44
0.2,0,0.0,10.4877,12.63402,-3.7398000000000002,35.1
0.3,4.999999999999999,0.0,9.90234,12.47142,-3.9024,37.44
0.4,10.0,4.444444444444443,10.569,12.89418,-3.86988,35.28
0.4,10.0,4.444444444444443,9.90234,12.3576,-3.9024,36.54
0.5,15.0,13.333333333333332,10.42266,12.39012,-3.9024,36.0
0.6,20.0,17.777777777777775,10.37388,12.81288,-3.60972,36.36
0.7,24.999999999999996,17.777777777777775,10.55274,11.85354,-3.9024,36.0
0.7,24.999999999999996,22.222222222222218,10.50396,12.45516,-3.72354,36.18
1.0,40.0,26.66666666666667,10.27632,12.47142,-3.86988,36.54
1.3,55.00000000000001,35.55555555555556,10.60152,12.17874,-3.72354,37.44
1.4,60.0,48.88888888888889,10.4877,12.74784,-3.9024,36.36
1.4,60.0,53.33333333333333,10.19502,12.6015,-3.88614,37.44
1.4,60.0,53.33333333333333,10.30884,12.86166,-3.62598,37.8
1.7,75.0,62.22222222222223,10.39014,12.78036,-3.7398000000000002,35.64
1.8,80.0,71.11111111111111,9.93486,12.42264,-3.9024,35.46
2.1,90,80,10.3251,12.87792,-3.86988,36.72
2.1,90,80,10.09746,12.66654,-3.77232,35.82
2.5,90,80,10.048680000000001,12.79662,-3.9024,37.44
2.5,90,80,10.21128,12.79662,-3.62598,37.08
2.5,90,80,10.63404,13.0893,-3.9024,37.98
2.5,90,80,10.39014,12.50394,-3.9024,38.339999999999996
2.8,90,80,10.12998,13.1706,-3.9024,36.72
2.8,90,80,10.61778,12.6015,-3.67476,36.18
2.8,90,80,10.292580000000001,13.15434,-3.8211,36.18
2.8,90,80,10.14624,12.71532,-3.83736,35.46
2.8,90,80,10.4064,12.95922,-3.9024,37.44
2.9,90,80,10.37388,12.6015,-3.83736,36.72
3.0,90,80,10.66656,12.8454,-3.70728,37.44
3.0,90,80,10.45518,13.13808,-3.9024,36.9
3.2,90,80,10.780380000000001,12.764100000000001,-3.85362,36.9
3.2,90,80,10.47144,12.82914,-3.9024,36.9
3.4,90,80,10.69908,12.82914,-3.9024,34.56
3.4,90,80,10.61778,13.20312,-3.9024,37.08
3.4,90,80,10.60152,13.05678,-3.9024,36.36
3.5,90,80,10.60152,12.71532,-3.9024,36.54
3.9,90,80,10.63404,12.487680000000001,-3.86988,37.26
3.9,90,80,10.43892,13.07304,-3.9024,35.1
3.9,90,80,10.536480000000001,13.12182,-3.9024,36.72
4.1,90,80,10.27632,12.74784,-3.9024,35.64
4.1,90,80,10.6503,12.94296,-3.75606,39.24
4.3,90,80,10.69908,12.40638,-3.88614,38.16
4.3,90,80,10.26006,11.88606,-3.85362,35.46
4.3,90,80,10.63404,12.55272,-3.9024,37.08
4.3,90,80,10.536480000000001,13.04052,-3.78858,35.82
4.4,90,80,10.60152,12.89418,-3.9024,36.72
4.6,90,80,10.63404,12.16248,-3.9024,37.08
4.6,90,80,10.37388,13.008000000000001,-3.9024,37.08
4.6,90,80,10.4877,12.50394,-3.86988,36.18
4.7,90,80,10.35762,12.79662,-3.80484,36.9
4.7,90,80,10.52022,12.74784,-3.9024,35.28
5.0,90,80,10.4877,12.87792,-3.7398000000000002,37.26
5.2,0,0.0,10.43892,12.97548,-3.9024,34.019999999999996
5.2,0,0.0,10.536480000000001,13.02426,-3.9024,38.699999999999996
5.3,0,0.0,10.52022,12.764100000000001,-3.9024,36.36
5.4,0,0.0,10.19502,12.26004,-3.80484,37.26
5.8,0,0.0,10.71534,12.17874,-3.86988,37.98
6.0,0,0.0,10.43892,12.65028,-3.8211,39.24
6.0,0,0.0,10.45518,12.6015,-3.9024,37.44
6.1,0,0.0,10.22754,13.008000000000001,-3.64224,36.0
6.2,0,0.0,10.17876,12.9267,-3.69102,37.62
6.3,0,0.0,10.14624,12.21126,-3.86988,37.62
6.3,0,0.0,9.756,12.95922,-3.77232,37.44
6.4,0,0.0,9.804780000000001,13.15434,-3.9024,38.699999999999996
6.5,0,0.0,9.85356,12.39012,-3.70728,37.08
6.5,0,0.0,10.03242,12.26004,-3.83736,38.879999999999995
6.7,0,0.0,10.47144,12.487680000000001,-3.72354,38.16
6.8,0,0.0,10.60152,12.5202,-3.59346,37.62
6.8,0,0.0,10.42266,12.74784,-3.70728,36.36
6.8,0,0.0,10.34136,13.05678,-3.77232,39.24
6.8,0,0.0,10.50396,12.55272,-3.86988,36.36
7.0,0,0.0,10.4064,12.97548,-3.9024,38.879999999999995
7.1,0,0.0,10.58526,12.50394,-3.9024,38.519999999999996
7.1,0,0.0,10.43892,12.74784,-3.85362,36.9
7.2,0,0.0,10.06494,12.9267,-3.69102,37.8
7.4,0,0.0,10.47144,12.78036,-3.9024,37.44
7.4,0,0.0,10.536480000000001,12.39012,-3.9024,36.72
7.6,0,0.0,10.2438,12.97548,-3.72354,35.64
7.7,0,0.0,10.60152,12.5202,-3.9024,37.62
7.7,0,0.0,10.27632,12.91044,-3.80484,38.16
7.7,0,0.0,9.90234,12.86166,-3.72354,39.24
8.1,0,0.0,10.52022,13.02426,-3.9024,37.98
8.1,0,0.0,9.96738,12.61776,-3.9024,38.879999999999995
8.1,0,0.0,10.61778,12.91044,-3.83736,38.879999999999995
8.7,0,0.0,10.42266,12.89418,-3.60972,37.26
8.7,0,0.0,10.536480000000001,12.73158,-3.62598,38.879999999999995
8.7,0,0.0,10.50396,13.05678,-3.69102,39.059999999999995
8.8,0,0.0,10.06494,13.10556,-3.83736,36.72
9.1,0,0.0,10.27632,13.10556,-3.9024,37.8
9.1,0,0.0,10.50396,12.87792,-3.9024,37.44
9.1,0,0.0,10.536480000000001,13.12182,-3.83736,37.44
9.1,0,0.0,10.6503,12.764100000000001,-3.85362,39.42
9.2,0,0.0,10.66656,12.9267,-3.85362,36.36
9.4,0,0.0,10.37388,12.89418,-3.9024,37.62
9.6,0,0.0,10.45518,13.18686,-3.77232,38.699999999999996
9.6,0,0.0,9.96738,12.81288,-3.9024,38.16
9.7,0,0.0,10.35762,13.15434,-3.9024,37.8
9.7,0,0.0,10.37388,13.05678,-3.72354,37.98
9.9,0,0.0,10.37388,13.008000000000001,-3.78858,39.059999999999995
9.9,0,0.0,10.21128,12.47142,-3.88614,38.16
10.0,0,0.0,10.30884,12.97548,-3.9024,38.699999999999996
10.0,0,0.0,9.77226,12.8454,-3.80484,38.879999999999995
10.0,0,0.0,9.98364,12.47142,-3.67476,37.8
10.1,0,0.0,10.55274,12.97548,-3.9024,38.519999999999996
10.3,0,0.0,10.569,13.12182,-3.9024,37.44
10.5,0,0.0,10.34136,12.63402,-3.9024,39.78
10.6,0,0.0,10.39014,12.91044,-3.88614,38.16
10.7,0,0.0,10.37388,12.39012,-3.9024,39.6
10.8,0,0.0,10.4064,12.764100000000001,-3.85362,38.699999999999996
10.9,0,0.0,10.4877,12.6015,-3.9024,38.16
11.0,0,0.0,10.09746,12.53646,-3.9024,39.78
11.0,0,0.0,9.85356,12.95922,-3.9024,37.44
11.1,0,0.0,10.50396,12.95922,-3.67476,37.62
11.1,0,0.0,10.55274,13.008000000000001,-3.9024,40.86
11.4,0,0.0,10.7316,12.6828,-3.9024,39.24
11.4,0,0.0,10.536480000000001,13.04052,-3.88614,37.8
11.6,0,0.0,10.55274,12.34134,-3.7398000000000002,37.08
11.7,0,0.0,10.37388,12.63402,-3.86988,38.879999999999995
11.9,0,0.0,10.42266,12.37386,-3.9024,39.059999999999995
11.9,0,0.0,9.9186,13.02426,-3.88614,38.519999999999996
12.1,0,0.0,10.4877,12.26004,-3.9024,37.98
12.1,0,0.0,10.27632,12.6015,-3.7398000000000002,39.24
12.1,0,0.0,10.50396,12.40638,-3.88614,37.08
12.2,0,0.0,10.42266,12.87792,-3.85362,39.42
12.2,0,0.0,10.45518,12.91044,-3.9024,39.42
12.2,0,0.0,10.52022,12.8454,-3.9024,38.879999999999995
12.2,0,0.0,10.27632,12.487680000000001,-3.7398000000000002,39.96
12.2,0,0.0,10.60152,13.07304,-3.9024,38.16
12.2,0,0.0,10.14624,12.97548,-3.69102,37.98
12.2,0,0.0,10.52022,13.008000000000001,-3.9024,37.26
