Timestamp,ServoFuel,ServoOxidizer,PressureFuel,PressureOxidizer,PressureChamber,TemperatureFuel
-10,0.0,0.0,9.93486,11.755980000000001,-3.9024,34.199999999999996
-10,0.0,0.0,9.90234,11.72346,-3.9024,34.019999999999996
-10,0.0,0.0,9.82104,11.73972,-3.77232,32.94
-10,0.0,0.0,9.95112,11.67468,-3.72354,31.86
-10,0.0,0.0,9.93486,11.73972,-3.9024,32.76
-10,0.0,0.0,9.85356,11.755980000000001,-3.77232,33.839999999999996
-10,0.0,0.0,9.85356,11.49582,-3.9024,31.86
-10,0.0,0.0,9.90234,11.73972,-3.9024,31.86
-9.6,0.0,0.0,10.01616,11.31696,-3.9024,32.22
-9.6,0.0,0.0,9.96738,11.96736,-3.9024,32.04
-9.4,0.0,0.0,9.9186,11.25192,-3.9024,31.86
-9.2,0.0,0.0,9.60966,11.80476,-3.8211,34.199999999999996
-9.1,0.0,0.0,9.86982,11.36574,-3.9024,32.94
-9.1,0.0,0.0,10.0812,11.6259,-3.77232,32.76
-8.9,0.0,0.0,9.8373,11.82102,-3.9024,34.019999999999996
-8.8,0.0,0.0,9.62592,11.39826,-3.64224,33.12
-8.7,0.0,0.0,10.01616,11.72346,-3.9024,32.04
-8.5,0.0,0.0,10.03242,11.49582,-3.9024,33.839999999999996
-8.5,0.0,0.0,10.09746,11.69094,-3.7398000000000002,32.76
-8.1,0.0,0.0,9.64218,11.80476,-3.9024,32.76
-8.1,0.0,0.0,9.65844,11.80476,-3.9024,33.839999999999996
-7.9,0.0,0.0,10.19502,11.5446,-3.9024,33.12
-7.7,0.0,0.0,10.048680000000001,11.82102,-3.9024,34.56
-7.7,0.0,0.0,9.95112,11.6259,-3.77232,33.839999999999996
-7.7,0.0,0.0,9.756,11.7885,-3.9024,32.58
-7.6,0.0,0.0,10.01616,11.47956,-3.9024,32.58
-7.5,0.0,0.0,9.70722,11.73972,-3.86988,32.58
-7.4,0.0,0.0,9.78852,11.755980000000001,-3.85362,32.94
-7.2,0.0,0.0,10.09746,11.69094,-3.9024,33.12
-7.2,0.0,0.0,9.78852,11.72346,-3.9024,34.019999999999996
-7.2,0.0,0.0,9.8373,11.88606,-3.67476,34.019999999999996
-7.0,0.0,0.0,9.88608,11.9511,-3.9024,33.839999999999996
-7.0,0.0,0.0,9.60966,11.755980000000001,-3.9024,33.66
-6.8,0.0,0.0,9.9999,11.7072,-3.9024,34.019999999999996
-6.8,0.0,0.0,9.90234,11.60964,-3.9024,32.58
-6.8,0.0,0.0,9.82104,11.83728,-3.77232,33.12
-6.5,0.0,0.0,9.49584,11.8698,-3.7398000000000002,31.86
-6.5,0.0,0.0,9.52836,12.04866,-3.64224,32.22
-6.4,0.0,0.0,9.96738,11.93484,-3.9024,33.66
-6.4,0.0,0.0,9.9186,11.69094,-3.6585,33.3
-6.2,0.0,0.0,9.85356,11.80476,-3.9024,32.58
-6.2,0.0,0.0,9.82104,11.85354,-3.60972,33.3
-5.8,0.0,0.0,9.57714,11.77224,-3.7398000000000002,33.839999999999996
-5.8,0.0,0.0,10.048680000000001,11.999880000000001,-3.86988,34.019999999999996
-5.8,0.0,0.0,9.5934,11.39826,-3.9024,32.04
-5.6,0.0,0.0,9.804780000000001,11.72346,-3.9024,33.12
-5.5,0.0,0.0,9.52836,11.41452,-3.6585,32.22
-5.5,0.0,0.0,9.52836,11.56086,-3.8211,34.199999999999996
-5.4,0.0,0.0,9.88608,11.90232,-3.85362,34.019999999999996
-5.4,0.0,0.0,9.9186,11.39826,-3.69102,34.92
