Timestamp,ServoFuel,ServoOxidizer,PressureFuel,PressureOxidizer,PressureChamber,TemperatureFuel
-10,0,0.0,10.35762,12.66654,-3.83736,36.18
-10,0,0.0,10.292580000000001,12.764100000000001,-3.8211,38.339999999999996
-10,0,0.0,10.4877,12.99174,-3.7398000000000002,37.62
-9.6,0,0.0,9.9999,12.6828,-3.9024,36.0
-9.4,0,0.0,10.52022,12.87792,-3.62598,37.62
-9.4,0,0.0,10.50396,12.53646,-3.7398000000000002,36.36
-9.3,0,0.0,9.88608,12.89418,-3.9024,34.379999999999995
-9.1,0,0.0,10.52022,12.53646,-3.9024,37.8
-9.1,0,0.0,10.4877,12.29256,-3.9024,38.339999999999996
-9.0,0,0.0,10.292580000000001,12.61776,-3.9024,39.78
-9.0,0,0.0,10.55274,12.74784,-3.9024,35.28
-8.8,0,0.0,10.30884,12.66654,-3.75606,36.72
-8.7,0,0.0,10.4877,12.94296,-3.88614,38.519999999999996
-8.6,0,0.0,10.58526,12.32508,-3.9024,36.18
-8.5,0,0.0,10.47144,12.82914,-3.77232,37.26
-8.5,0,0.0,10.45518,12.73158,-3.9024,35.82
-8.3,0,0.0,10.03242,12.87792,-3.72354,36.18
-8.1,0,0.0,10.52022,12.45516,-3.86988,36.0
-8.1,0,0.0,10.30884,12.63402,-3.62598,37.62
-8.0,0,0.0,10.26006,12.82914,-3.9024,38.519999999999996
-7.9,0,0.0,10.47144,12.764100000000001,-3.83736,38.339999999999996
-7.6,0,0.0,10.12998,12.78036,-3.86988,36.72
-7.5,0,0.0,10.58526,12.3576,-3.75606,38.519999999999996
-7.4,0,0.0,10.52022,12.21126,-3.9024,38.339999999999996
-7.4,0,0.0,9.6747,12.91044,-3.9024,36.0
-7.4,0,0.0,10.39014,12.65028,-3.77232,35.82
-7.1,0,0.0,10.35762,12.61776,-3.85362,36.18
-7.1,0,0.0,10.42266,12.78036,-3.72354,34.56
-6.9,0,0.0,10.58526,12.74784,-3.9024,34.56
-6.8,0,0.0,10.55274,12.9267,-3.9024,38.16
-6.8,0,0.0,10.39014,12.69906,-3.9024,37.44
-6.7,0,0.0,9.88608,12.2763,-3.78858,37.98
-6.5,0,0.0,10.21128,12.81288,-3.9024,37.8
-6.4,0,0.0,10.569,12.74784,-3.9024,37.62
-6.2,0,0.0,10.45518,12.73158,-3.9024,37.98
-6.2,0,0.0,10.43892,12.89418,-3.70728,35.64
-6.1,0,0.0,10.21128,12.56898,-3.9024,38.339999999999996
-6.1,0,0.0,10.12998,12.21126,-3.9024,35.64
-5.8,0,0.0,10.50396,12.47142,-3.9024,34.92
-5.8,0,0.0,10.536480000000001,12.82914,-3.7398000000000002,36.0
-5.7,0,0.0,10.4064,12.50394,-3.9024,37.44
-5.5,0,0.0,10.34136,12.69906,-3.9024,36.54
-5.4,0,0.0,10.55274,12.66654,-3.80484,36.72
-5.3,0,0.0,10.536480000000001,12.74784,-3.9024,35.28
-5.3,0,0.0,10.19502,12.61776,-3.85362,37.44
-5.1,0,0.0,10.45518,12.73158,-3.88614,34.92
-5.0,0,0.0,10.0812,12.86166,-3.9024,36.0
-4.9,0,0.0,9.9186,12.6828,-3.9024,35.46
-4.9,0,0.0,10.569,12.9267,-3.9024,37.08
-4.7,0,0.0,10.45518,12.2763,-3.9024,35.28
-4.7,0,0.0,10.292580000000001,12.79662,-3.9024,36.72
-4.6,0,0.0,10.42266,12.6828,-3.8211,37.44
-4.3,0,0.0,10.2438,12.71532,-3.9024,38.699999999999996
-4.2,0,0.0,10.52022,12.73158,-3.64224,35.82
-4.2,0,0.0,10.3251,12.74784,-3.7398000000000002,37.44
-4.2,0,0.0,10.55274,12.81288,-3.8211,36.9
-4.2,0,0.0,10.2438,12.82914,-3.77232,36.36
-3.8,0,0.0,10.42266,12.8454,-3.9024,36.36
-3.8,0,0.0,10.45518,13.008000000000001,-3.9024,34.199999999999996
-3.6,0,0.0,10.45518,12.91044,-3.83736,34.56
-3.6,0,0.0,10.292580000000001,12.97548,-3.9024,37.62
-3.4,0,0.0,10.536480000000001,12.78036,-3.9024,38.519999999999996
-3.3,0,0.0,10.35762,12.73158,-3.83736,36.36
-3.3,0,0.0,10.569,12.79662,-3.83736,36.72
-3.2,0,0.0,10.45518,12.45516,-3.86988,37.8
-3.1,0,0.0,10.26006,12.82914,-3.8211,36.18
-3.1,0,0.0,10.50396,12.6828,-3.70728,35.82
-3.0,0,0.0,10.4877,12.66654,-3.9024,37.98
-2.8,0,0.0,10.47144,12.8454,-3.77232,39.6
-2.7,0,0.0,10.3251,12.89418,-3.83736,36.36
-2.7,0,0.0,10.42266,12.78036,-3.70728,36.0
-2.6,0,0.0,9.88608,12.73158,-3.9024,36.9
-2.6,0,0.0,10.43892,12.94296,-3.83736,37.26
-2.5,0,0.0,10.52022,12.95922,-3.72354,38.16
-2.4,0,0.0,10.09746,12.34134,-3.75606,38.879999999999995
-2.4,0,0.0,10.61778,12.79662,-3.9024,33.839999999999996
-2.2,0,0.0,10.292580000000001,12.79662,-3.64224,38.879999999999995
-2.2,0,0.0,10.50396,12.79662,-3.9024,38.699999999999996
-2.0,0,0.0,10.4064,12.94296,-3.9024,38.699999999999996
-1.7,0,0.0,10.4064,12.764100000000001,-3.77232,37.26
-1.7,0,0.0,10.47144,13.008000000000001,-3.80484,36.9
-1.6,0,0.0,10.52022,12.2763,-3.9024,36.9
-1.6,0,0.0,10.50396,12.91044,-3.67476,35.46
-1.3,0,0.0,10.22754,12.74784,-3.9024,36.36
-1.3,0,0.0,10.45518,12.30882,-3.67476,37.44
-1.3,0,0.0,10.01616,12.89418,-3.67476,35.82
