Timestamp,ServoFuel,ServoOxidizer,PressureFuel,PressureOxidizer,PressureChamber,TemperatureFuel
-10,0,0.0,10.569,12.764100000000001,-3.7398000000000002,36.72
-10,0,0.0,10.42266,12.99174,-3.9024,37.8
-10,0,0.0,10.42266,12.89418,-3.9024,37.62
-9.5,0,0.0,10.45518,12.39012,-3.78858,38.699999999999996
-9.2,0,0.0,10.55274,12.08118,-3.9024,37.98
-9.2,0,0.0,9.93486,12.42264,-3.9024,36.54
-9.2,0,0.0,9.86982,12.78036,-3.86988,36.72
-9.0,0,0.0,10.30884,11.98362,-3.9024,39.78
-8.9,0,0.0,9.93486,12.74784,-3.64224,38.879999999999995
-8.9,0,0.0,10.42266,12.65028,-3.75606,38.519999999999996
-8.7,0,0.0,10.37388,12.9267,-3.9024,39.78
-8.5,0,0.0,10.50396,12.81288,-3.9024,39.42
-8.5,0,0.0,10.12998,12.16248,-3.9024,39.6
-8.4,0,0.0,10.50396,12.81288,-3.86988,39.78
-8.2,0,0.0,10.17876,12.71532,-3.9024,38.879999999999995
-8.2,0,0.0,10.17876,12.89418,-3.67476,39.42
-7.8,0,0.0,10.34136,12.87792,-3.88614,37.44
-7.8,0,0.0,10.292580000000001,12.86166,-3.67476,37.62
-7.8,0,0.0,10.09746,12.91044,-3.9024,37.26
-7.6,0,0.0,10.11372,12.95922,-3.9024,38.699999999999996
-7.6,0,0.0,10.47144,13.0893,-3.9024,37.62
-7.3,0,0.0,10.292580000000001,12.73158,-3.77232,39.6
-7.3,0,0.0,10.17876,12.87792,-3.83736,37.8
-7.3,0,0.0,10.30884,12.71532,-3.62598,37.98
-7.1,0,0.0,10.26006,13.02426,-3.80484,38.16
-6.8,0,0.0,10.50396,12.79662,-3.9024,37.98
-6.8,0,0.0,9.9999,12.9267,-3.77232,38.879999999999995
-6.7,0,0.0,10.55274,12.87792,-3.9024,38.519999999999996
-6.7,0,0.0,10.47144,12.65028,-3.9024,37.62
-6.7,0,0.0,10.47144,12.73158,-3.9024,39.42
