Timestamp,ServoFuel,ServoOxidizer,PressureFuel,PressureOxidizer,PressureChamber,TemperatureFuel
-10,0.0,0,10.4877,13.05678,-3.77232,41.22
-10,0.0,0,10.47144,12.91044,-3.7398000000000002,38.519999999999996
-10,0.0,0,10.2438,12.66654,-3.80484,41.22
-10,0.0,0,10.52022,12.73158,-3.8211,40.5
-10,0.0,0,10.50396,13.13808,-3.7398000000000002,39.059999999999995
-9.7,0.0,0,10.60152,12.95922,62.584740000000004,39.42
-9.3,0.0,0,10.58526,12.69906,62.63352,40.32
-9.3,0.0,0,10.47144,13.02426,39.73944,40.14
-9.0,0.0,0,10.35762,12.97548,-3.83736,40.32
-8.9,0.0,0,10.47144,13.10556,-3.8211,38.16
-8.8,0.0,0,10.39014,12.97548,-3.7398000000000002,38.879999999999995
-8.8,0.0,0,10.569,12.21126,-3.83736,39.059999999999995
-8.6,0.0,0,10.34136,12.87792,-3.77232,39.78
-8.6,0.0,0,10.35762,12.73158,-3.9024,38.519999999999996
-8.6,0.0,0,10.55274,12.91044,-3.83736,40.32
-8.5,0.0,0,10.61778,12.82914,-3.9024,40.14
-8.4,0.0,0,10.4064,13.04052,-3.75606,39.6
-8.3,0.0,0,10.4064,12.5202,-3.86988,39.6
-8.1,0.0,0,10.58526,12.34134,-3.75606,40.32
-8.1,0.0,0,10.52022,12.78036,-3.9024,38.16
-7.8,0.0,0,10.66656,13.18686,-3.9024,37.98
-7.8,0.0,0,10.63404,13.23564,-3.9024,39.42
-7.7,0.0,0,10.35762,12.65028,-3.77232,39.24
-7.7,0.0,0,10.61778,13.21938,-3.9024,40.32
-7.5,0.0,0,10.45518,12.37386,-3.9024,41.4
-7.2,0.0,0,10.43892,13.05678,-3.70728,39.96
-7.2,0.0,0,10.63404,13.008000000000001,-3.9024,42.12
-6.9,0.0,0,10.60152,12.56898,-3.80484,41.22
-6.9,0.0,0,10.569,13.15434,-3.9024,38.879999999999995
-6.8,0.0,0,10.6503,12.55272,-3.7398000000000002,40.86
-6.8,0.0,0,10.55274,12.3576,-3.86988,38.519999999999996
-6.5,0.0,0,10.60152,12.94296,-3.83736,40.68
