Timestamp,ServoFuel,ServoOxidizer,PressureFuel,PressureOxidizer,PressureChamber,TemperatureFuel
-10,0,0.0,10.22754,12.61776,-3.9024,35.1
-10,0,0.0,9.88608,11.72346,-3.9024,34.56
-10,0,0.0,9.85356,11.88606,-3.9024,32.4
-9.7,0,0.0,9.95112,11.77224,-3.9024,34.199999999999996
-9.6,0,0.0,9.8373,11.88606,-3.7398000000000002,31.86
-9.4,0,0.0,9.90234,12.04866,-3.85362,33.66
-9.3,0,0.0,9.9999,11.77224,-3.9024,34.019999999999996
-9.2,0,0.0,9.6747,11.93484,-3.88614,34.199999999999996
-9.2,0,0.0,9.804780000000001,11.69094,-3.9024,33.48
-9.0,0,0.0,9.78852,11.80476,-3.54468,33.3
-8.8,0,0.0,10.03242,12.01614,-3.77232,34.019999999999996
-8.8,0,0.0,9.756,11.85354,-3.59346,34.92
-8.6,0,0.0,9.69096,11.82102,-3.9024,35.28
-8.5,0,0.0,9.86982,11.82102,-3.85362,31.86
-8.4,0,0.0,9.90234,11.96736,-3.78858,34.74
-8.4,0,0.0,10.03242,11.7885,-3.9024,33.839999999999996
-8.3,0,0.0,10.14624,11.85354,-3.9024,32.94
-8.3,0,0.0,9.70722,11.7885,-3.47964,32.76
-8.2,0,0.0,9.756,11.9511,-3.78858,31.86
-8.0,0,0.0,10.11372,11.91858,-3.9024,31.32
-7.8,0,0.0,9.85356,11.80476,-3.80484,33.12
-7.7,0,0.0,9.85356,11.85354,-3.86988,33.48
-7.6,0,0.0,9.804780000000001,11.80476,-3.70728,31.68
-7.5,0,0.0,9.78852,11.96736,-3.60972,36.18
-7.2,0,0.0,9.756,11.9511,-3.77232,34.199999999999996
-7.2,0,0.0,9.95112,12.09744,-3.9024,34.92
-7.1,0,0.0,10.06494,11.9511,-3.77232,32.22
-6.8,0,0.0,10.048680000000001,11.7885,-3.64224,33.839999999999996
-6.8,0,0.0,10.03242,11.8698,-3.7398000000000002,33.66
-6.8,0,0.0,9.72348,11.67468,-3.69102,33.3
-6.7,0,0.0,10.01616,11.91858,-3.9024,34.379999999999995
